,idiom,meaning,example,idiomatic_part
458,two wrongs don’t make a right,Meaning: the fact that responding to a negative situation in the same manner will not make things better in any sense,Example: You cannot leave the kitty because she was rude to you. Two wrongs don't make a right. Read on,Two wrongs don't make a right
459,come down with,Meaning: to have (usually a disease),"Example: The Joshi's have all come down with the flu, so none of them will be able to attend your wedding. Read on",come down with
460,run a tight ship,Meaning: to be strict about something,"Example: Martha runs a tight ship at home. With 4 kids to take care of at home, she cannot have it any other way. Read on",runs a tight ship 
461,heads up,Meaning: to inform about something beforehand,"Example: Heads up! This machine is used to trim grass, please handle with care. Read on",Heads up
462,get under skin,Meaning: to be irritating,Example: The new manager is getting under my skin. Read on,getting under my skin
463,pass the torch,Meaning: to pass on the responsibility,Example: The director of the company passed the torch after he got too sick to take care of the company matters. Read on,passed the torch
464,dream come true,Meaning: fulfilment of a wish after a long time,Example: This house is my dream come true. Read on,dream come true
465,a needle in a haystack,Meaning: something very small amidst something very big,"Example: You must be kidding when you say that you would like to find evidence in this case, it is like trying to find a needle in a haystack. Read on",a needle in a haystack
466,black and blue,"Meaning: hurt, either bodily, emotionally or psychologically",Example: The man beat his own mother black and blue! How could someone do such a horrible act? The mother is still praying for the best for him though. Read on,black and blue
467,faint of heart,Meaning: to not be strong enough to handle a situation,Example: This movie is not for those who are faint of heart. You better go to bed right now. Read on,faint of heart
468,fall between the cracks,Meaning: slip through the cracks,Example: The management was so focused on planning for the next year's budget that they let this issue fall between the cracks. Read on,fall between the cracks
469,black out,Meaning: to be in a semi unconscious state so as to not have any memory of a particular moment,Example: The child's mother blacked out on seeing him at the hospital. Subsequently she had to be hospitalised too. Read on,blacked out
470,"love me, love my dog",Meaning: to accept someone unconditionally,"Example: My parents share a very straightforward relationship, it is like love me, love my dog. They accept each other exactly the way they are in person. Read on","love me, love my dog"
471,dead as a dodo,Meaning: no longer alive or existing,"Example: When my dad finds out that I have lost the mobile phone, I am as dead as a dodo! Read on",dead as a dodo
472,strive to do,Meaning: to try very hard to achieve,Example: This is perhaps the only politician that I have come across who strives to do what he promised. Read on,strives to do
